Name,mdust,mdust_err_high,mdust_err_low,mdust_flag,tdust,tdust_err_high,tdust_err_low,tdust_flag,alpha,alpha_err_high,alpha_err_low,alpha_flag,wturn,wturn_err_high,wturn_err_low,wturn_flag,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_high,agn_frac_low,agn_frac_flag,agn_frac_err_low,agn_frac_err_high
PG 0003+158,4.5085756358899998,,,-1,,,,,1.6283672118900001,0.09786133320999979,0.098414267950000189,0,33.5915757832,2.3474283023000027,2.2427544155999968,0,12.104116357600001,,,-1,11.1789619758,,,-1,12.014433221199999,,,1,0.87290680135599996,,,1,,
PG 0003+199,6.5898523641199995,0.13343027997999979,0.12633094954999979,0,23.8810060496,2.1496413440999973,2.1349867144000001,0,1.2086723883399999,0.057028388850000056,0.057030717179999968,0,53.257395408400001,3.1846159872000044,3.2214671073000076,0,10.5285093271,0.0047000120999989292,0.004449626999999623,0,9.5602897758300003,,,-1,10.474332862899999,,,1,0.8920092871969999,,,1,,
PG 0007+106,9.4470788871899991,0.069511591780001325,0.087401651299998662,0,10.921836627699999,0.45850255420000074,0.35320061759999888,0,1.5116360393599999,0.04584057559000021,0.04107424965999984,0,63.793119816599997,1.9079958748000081,1.9913088599999966,0,11.352413376300001,0.0043265491999981975,0.0051799328000026179,0,10.352413376300001,,,-1,11.306655885739326,,,1,0.9,,,1,,
PG 0026+129,4.4049309410499999,,,-1,,,,,1.12120139337,0.14506516020999993,0.10654517030999999,0,47.011760385300001,6.1327751540999955,9.7041690526000011,0,11.2503436377,,,-1,10.459942832199999,,,-1,11.116044665699999,,,1,0.82772862542600001,,,1,,
PG 0043+039,8.2186856661200007,0.41846140154000011,0.29396613923000192,0,26.673117243099998,5.3063021765999991,6.4148043126999994,0,1.0759710528899999,0.10550741266000019,0.097657057054999941,0,58.918350238800002,16.949832174299999,15.334371283500005,0,12.005211688499999,0.022906918000002108,0.026603130699999866,0,11.317225429400001,0.21536935069999963,0.33329771120000196,0,11.899941397799999,0.066246920399999354,0.08179279579999843,0,0.79259848907600006,,,0,0.128102081843,0.113572832158
PG 0049+171,5.6080199768499996,0.80407925293000115,0.92196783979999974,0,37.429911136199998,15.342161696200002,11.359350385099997,0,0.80316652832900004,0.181135053416,0.14156048674200006,0,53.999896563199997,21.3051469591,19.102218564899999,0,10.2237043721,0.053220177500000077,0.041355098600000417,0,9.6824554363699988,0.24455726966000135,0.86809853602999887,0,10.0724738909,0.087320435500000571,0.084203607339999209,0,0.71174023093399996,,,0,0.17755590553,0.24641458777
PG 0050+124,8.1754960103799998,0.01171480788999979,0.010909415280000445,0,27.685654432100002,0.21932343619999628,0.24600224499999968,0,1.66642221869,0.074036706640000061,0.064306508319999844,0,45.7286016734,1.5865556059999975,1.5448777196000023,0,11.8505062634,0.0025784949999998474,0.0028913552000009446,0,11.353174237299999,0.010108841299999227,0.011924124200000108,0,11.6845875949,0.0068332526999999033,0.0073648151999989864,0,0.68219320257300009,,,0,0.1,0.1
PG 0052+251,8.1319095299199997,0.078914746300000616,0.085741711669999887,0,23.879480764099998,1.0614585214000023,1.1205899294000012,0,1.60303467333,0.10306311454999983,0.077667736400000242,0,36.578838729299996,3.8097744471000041,4.1311620960999917,0,11.5710501575,0.012965947399999678,0.014944209400001185,0,10.919576619100001,0.049749701699997928,0.057672371000000666,0,11.462884239500001,0.021919001499998814,0.027465176300001559,0,0.77719407079199998,,,0,0.1,0.1
PG 0157+001,8.5595463362800004,0.026246997609998601,0.014624037829999992,0,33.486096632399999,0.33683137700000287,0.69971378790000216,0,3.1226968986400001,0.072778844619999727,0.22483093662000009,0,33.968750599899998,2.7514698280000047,0.73351345060000028,0,12.588268102799999,0.002844674400002134,0.0030841459999990661,0,12.2322330146,0.012871267000001296,0.029156620900002039,0,12.337178657000001,0.019286339099998884,0.011561502799999346,0,0.56015036452299993,,,0,0.1,0.1
PG 0804+761,6.6654960077799998,0.67913915592000063,0.57198239356999991,0,29.658588674200001,13.289218218600002,8.9793511471999992,0,0.97187412751799995,0.078415657042000153,0.063303209767999857,0,46.314717190500005,3.5738062109999902,6.2073998452000012,0,11.5536390831,0.0059929142000001434,0.0064083238999987913,0,10.619839491600001,,,-1,11.4996342757,,,1,0.88499527963000002,,,1,,
PG 0838+770,8.0542050246799999,0.06389602590999921,0.055647740369998644,0,25.373177420700003,0.84186037179999573,1.0149531691000035,0,1.9730990455500002,0.083814071930000011,0.07390924563000012,0,40.9274997586,4.2502103555000019,4.2106352205999968,0,11.464939372,0.012253606599999856,0.014645244799998736,0,11.003620683900001,0.037042563599998246,0.051489671800000636,0,11.280429234200001,0.0370456793999967,0.039124053600001929,0,0.65479069475500007,,,0,0.1,0.1
PG 0844+349,7.5831164076399995,0.061292754820001072,0.058532365659998753,0,21.9747063963,0.81681998609999695,0.88845386239999868,0,1.70747001067,0.15260279132999988,0.10007997078000019,0,33.641043050100002,3.9542809014999989,4.6370532287999993,0,10.834645466,0.014461398100001688,0.019815736599998246,0,10.1593988905,0.044017269099999368,0.051859506400001365,0,10.7316223458,0.024862284999999318,0.033325606100000016,0,0.78755002155699994,,,0,0.1,0.1
PG 0921+525,6.7947472902500001,0.089114821539999056,0.08215404862000053,0,24.0621713693,1.2362857124000008,1.4114767860999997,0,1.0551232958399999,0.11230994683000017,0.082133768204999846,0,46.874284159300004,8.0067457888999911,7.4264036694000026,0,10.357415682200001,0.01057703719999914,0.012777011900000801,0,9.6056530274699998,0.060820085579999628,0.080520453270001013,0,10.272815376,0.02551875209999821,0.026861805700001185,0,0.82337156989500004,,,0,0.1,0.1
PG 0923+129,7.3480858450899991,0.2878198504200018,0.060065206369999125,0,25.2078049948,1.2243860836000025,5.5610141712000001,0,1.49989672271,0.12623703681999987,0.11428278114999979,0,57.496683296699999,36.041822890300011,10.589006865899997,0,10.6914886471,0.011399104200000565,0.01072533369999995,0,10.278796656799999,0.066672683600000227,0.35426818494999956,0,10.4769106025,0.14679666139999981,0.063007907499999405,0,0.61221617808899997,,,0,0.1,0.221320959286
PG 0923+201,7.4938984520600007,0.82427101932000024,0.79546175569000077,0,23.780470074699998,9.8282075516999967,9.0846850670999988,0,0.87426439959900004,0.091887577030999812,0.072501490458000029,0,49.089573438000002,8.050290692099999,8.8006445622000058,0,11.581886217599999,0.014513120700000215,0.017877150399998598,0,10.6999889133,,,-1,11.5059800255,,,1,0.86746431161100002,,,1,,
PG 0934+013,6.6603070433000005,0.10922054936999892,0.10852312302000033,0,33.131990797600004,1.7196864630999968,1.8325763733000073,0,2.2229442422099996,0.24047805268000078,0.17897263345999948,0,31.407163797900001,6.5404543392000001,5.2623728177999993,0,10.6285717461,0.014430250499998465,0.020644878700000646,0,10.309497840100001,0.032904598300000032,0.06168831100000105,0,10.3392794996,0.074390193199999288,0.060358993499999514,0,0.51570983496599998,,,0,0.1,0.1
PG 0947+396,8.5773547557000001,0.11650337568000069,0.080693417470000028,0,23.335249199699998,1.2991835154000029,1.8422405366999968,0,1.30962857972,0.089639822240000111,0.075033931699999945,0,52.956556376000002,11.757820642599988,10.176536544500003,0,11.7796746418,0.013849422200001626,0.014000239599999631,0,11.3086977072,0.060810342299999931,0.10723612680000016,0,11.6035358066,0.053403412799999828,0.056386661599999499,0,0.66359771968699999,,,0,0.1,0.1
PG 0953+414,7.6937199660600006,0.54452278759000006,0.48614071412000204,0,22.7508174096,6.779996263200001,5.5934851146,0,1.0246092060700001,0.13595734810999982,0.093618702609000071,0,40.546871945999996,6.9678804300000081,8.3606293503999964,0,11.6930412847,0.018189137600000294,0.024346805599998689,0,10.729530304199999,,,-1,11.613813119200001,,,1,0.88849763421000005,,,1,,
