Name,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_err_high,agn_frac_err_low,agn_frac_flag
1RXSJ044154.5-082639,10.3778893681,0.019944542099999296,0.033204993000000016,0,10.106243150121228,0.040867989878771382,0.030152581221228658,0,10.045342320989954,0.028999673610046628,0.10431640756995364,0,0.46500000000000002,0.015399999999999969,0.070100000000000051,0
1RXSJ045205.0+493248,10.4960222402,0.013172670299999467,0.046320639700001109,0,10.100356313302912,0.056017735797087909,0.0090518068029119547,0,10.27265079362015,0.015556032179850021,0.11220911632014996,0,0.59789999999999999,0.0067000000000000393,0.085799999999999987,0
2E1739.1-1210,10.829523176199999,0.0261912668000015,0.03162522329999895,0,10.475730788406684,0.034829762493316707,0.025187203806684266,0,10.575534283951924,0.044591765248075177,0.073492088851924819,0,0.55720000000000003,0.023399999999999976,0.063000000000000056,0
2MASSJ07594181-3843560,10.496111726799999,,,-1,-inf,,,-1,10.352970747000001,,,1,1.0,,,1
2MASSJ17485512-3254521,9.4553635319899989,,,-1,9.2194017907100019,,,-1,8.9642035851599999,,,1,0.38799999999999996,,,1
2MASXJ00253292+6821442,9.6043542729299993,0.021188342509999458,0.02219804241000034,0,9.1433048349443613,0.024608052455638685,0.02382167896436016,0,9.4199984220619655,0.024607806518034181,0.028623523361964942,0,0.65410000000000001,0.012499999999999956,0.013700000000000045,0
2MASXJ01064523+0638015,10.421199076799999,0.026068966600002241,0.02220539949999889,0,9.8641489463778598,0.03079584742214081,0.042137759517858697,0,10.280157131518004,0.029993046781996213,0.022527565618004175,0,0.72270000000000001,0.021800000000000042,0.0093999999999999639,0
2MASXJ01073963-1139117,10.8409691354,0.037216081500000442,0.01118948980000134,0,10.676088725824549,0.047582211775450745,0.014468428624548224,0,10.340518761305148,0.089321610694852893,0.083581156405147183,0,0.31590000000000001,0.056599999999999984,0.059600000000000042,0
2MASXJ03305218+0538253,10.7095934042,0.03039349410000014,0.021584199199999432,0,10.135779229444511,0.036349754855487859,0.044686985644510457,0,10.574815860490178,0.036904510409822677,0.025028844190178035,0,0.73319999999999996,0.022900000000000031,0.019899999999999918,0
2MASXJ03342453-1513402,10.624782417600001,0.018506382099999996,0.027838045499999353,0,10.550867504525145,0.0093989257748550159,0.046653881325145363,0,9.8192967594824676,0.15770232420753239,0.079466281642467607,0,0.1565,0.061299999999999993,0.0247,0
2MASXJ03502377-5018354,10.4130671768,0.018089698699998991,0.024835931400000177,0,10.4130671768,0.014661673900000949,0.033317599000000087,0,9.4130671768000003,,,-1,0.1,,,-1
2MASXJ03534246+3714077,10.1504356494,0.024768094300000598,0.016890520600000514,0,10.109047307164881,0.026440189735119191,0.019968055164879317,0,9.3449499912824674,,,-1,0.1565,,,-1
2MASXJ03540948+0249307,10.4207243035,,,-1,9.9518677289199999,,,-1,10.0248791682,,,1,0.50170000000000003,,,1
2MASXJ04234080+0408017,10.922247828800002,0.017123211799997762,0.036555828700000959,0,10.637916971200992,0.047236120199007914,0.019365607900992288,0,10.60385082753087,0.012164139369129856,0.12521619573086973,0,0.48039999999999999,0.0,0.08550000000000002,0
2MASXJ04440903+2813003,9.9653475888100012,0.019871915239997762,0.024179177040002386,0,9.9097315464508462,0.024466846539151987,0.032389382810846357,0,9.0452520564767216,0.12882453076327849,0.15228553915672194,0,0.1202,0.040300000000000002,0.037699999999999997,0
2MASXJ05020903+0331499,9.209877069460001,0.033526375270000131,0.030208439050001701,0,8.971128143768663,0.070307575441336922,0.03552279692866378,0,8.8361147546069017,0.039994742963097352,0.099639391406901368,0,0.4229,0.024500000000000022,0.081600000000000006,0
2MASXJ05054575-2351139,10.318806155800001,0.082109365899999176,0.014618755900000835,0,9.8746258388611921,0.02073647119880917,0.1100551712411928,0,10.125257479047264,0.16266696025273575,0.018593711647262978,0,0.64039999999999997,0.12740000000000007,0.014900000000000024,0
2MASXJ05580206-3820043,10.9523108904,,,-1,-inf,,,-1,10.866843679400001,,,1,1.0,,,1
2MASXJ06411806+3249313,10.4279313726,,,-1,9.9169687838500007,,,-1,10.1592376909,,,1,0.68000000000000005,,,1
2MASXJ06561197-4919499,10.682329942999999,0.022864345200002134,0.02145063999999941,0,10.08972084747073,0.029302890929271186,0.030832429970729436,0,10.554194645088193,0.026819446211806763,0.027143578788193068,0,0.74450000000000005,0.011599999999999944,0.021800000000000042,0
2MASXJ07262635-3554214,10.9972775145,,,-1,10.626180871599999,,,-1,10.5774509109,,,1,0.50170000000000003,,,1
2MASXJ07595347+2323241,11.0317194812,0.018300410300001957,0.012544932900000916,0,11.0317194812,0.014601207800001959,0.017978134799998102,0,10.0317194812,,,-1,0.1,,,-1
2MASXJ08032736+0841523,10.0675933647,,,-1,9.7738629795200005,,,-1,9.6318270565999988,,,1,0.38799999999999996,,,1
2MASXJ09023729-4813339,10.3069624841,,,-1,10.0200381306,,,-1,9.9072652532500012,,,1,0.42770000000000002,,,1
2MASXJ09043699+5536025,10.141189734600001,0.0240760226999992,0.020956688700000115,0,10.014859027306796,0.024132923093203473,0.031868601546795716,0,9.543279085172097,0.089678725067901865,0.078904211412096359,0,0.25240000000000001,0.050300000000000011,0.040600000000000025,0
