Name,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_err_high,agn_frac_err_low,agn_frac_flag
1RXSJ044154.5-082639,10.3615190054,0.036675914299999945,0.019766915399999974,0,10.036295366931872,0.084391631868127703,0.037295053391872557,0,10.08340569867466,0.064647443825339934,0.079393037874659456,0,0.52709232595,0.050497142313999932,0.090034318993000018,0
1RXSJ045205.0+493248,10.4629967738,0.024103441899999467,0.023972898400000275,0,10.071101622548408,0.033175272051591875,0.03815157554840809,0,10.237070864491534,0.05053923830846685,0.051429744291533908,0,0.59439355357900003,0.042451433552999962,0.043325309154000013,0
2E1739.1-1210,10.8556900261,0.019967457099999919,0.030358907900000176,0,10.40279505019554,0.035263336704460357,0.045077642095540327,0,10.666959246637321,0.037341376462679321,0.054102855737319544,0,0.64754390589199995,0.036920708999000018,0.040983694474999943,0
2MASSJ07594181-3843560,10.1968101353,,,-1,,,,-1,10.042769636399999,,,1,1.0,,,1
2MASSJ17485512-3254521,9.4906097503999991,,,-1,,,,-1,9.021111233760001,,,1,0.41751056027200001,,,1
2MASXJ00253292+6821442,9.6453403708999996,0.023782635719999945,0.023778529710000385,0,8.9792277299297716,0.03515586087022804,0.037879028009772497,0,9.5398123506906369,0.034743340859362704,0.03646928755063783,0,0.78428151625599996,0.023909590157000005,0.026013441973999907,0
2MASXJ01064523+0638015,10.4452241933,0.03914390390000122,0.030312775700000572,0,9.6832810064605681,0.073024975349433419,0.36148830904056872,0,10.362727462389278,0.078729094510721964,0.044161447289278399,0,0.82699573363599999,0.10121962656799999,0.037121413483999999,0
2MASXJ01073963-1139117,10.8826214492,0.019581345300000663,0.021033427699999052,0,10.693751234940125,0.022818081159874382,0.017461507840124568,0,10.429982530862878,0.053874796737121144,0.090087714862876922,0,0.352663961498,0.03386320396100001,0.053211644051999962,0
2MASXJ03305218+0538253,10.769933372700001,0.021680170099999785,0.032426596100000538,0,9.6675021612984562,0.17701544095154453,0.080616559598457371,0,10.734198003523343,0.025300968776656774,0.051237819123342021,0,0.92101060479399999,0.014934958766000039,0.044123677887000001,0
2MASXJ03342453-1513402,10.6374012275,0.017164210100000687,0.019315774900000804,0,10.525172246189889,0.022144827110111009,0.014354867789888814,0,9.9948151851729303,0.065446685227069423,0.11646275289293051,0,0.22772670255199998,0.028755772873000046,0.046455462313999968,0
2MASXJ03502377-5018354,10.4204184087,0.019969485200000747,0.022074993600000425,0,10.381675065657724,0.021748536642276051,0.023273149157724049,0,9.5281982798137683,,,-1,0.12816807782299999,,,-1
2MASXJ03534246+3714077,10.154926178,0.015425793599998627,0.016682858299999381,0,10.07967298664458,0.030611073255419896,0.011357481344580478,0,9.3565833757135266,0.070762160296474974,0.28410407450352615,0,0.15909524425300001,0.023968893708999989,0.073241666560300012,0
2MASXJ03540948+0249307,10.430763941799999,,,-1,9.8521185717200002,,,-1,10.1911346037,,,1,0.69604363551199999,,,1
2MASXJ04234080+0408017,10.909600294400001,0.033255802000001111,0.022353404900000484,0,10.586173040890396,0.016512026309603911,0.034239572090395853,0,10.629868921189932,0.074577376310068999,0.051758783789932039,0,0.52513217299199999,0.056166294007999995,0.035137154155000017,0
2MASXJ04440903+2813003,9.97927033723,0.018724786389999082,0.02417861700999957,0,9.9161941916118899,0.021841145968110709,0.031001732151889172,0,9.110194744220161,0.1029297580198385,0.12017133888016218,0,0.13518372428200001,0.035281277161999997,0.030899891327000023,0
2MASXJ05020903+0331499,9.21973248822,0.028261261869999998,0.030699449420000136,0,8.939052210783931,0.05089602771606927,0.046698464843931475,0,8.8973521711641954,0.053035604555804028,0.069899816164195272,0,0.47601395291799997,0.046746555231999998,0.058105167168999938,0
2MASXJ05054575-2351139,10.385947998700001,0.024337402999998758,0.026219156299999824,0,9.6175889048764418,0.06259063048355884,0.057927427536442977,0,10.304781545426319,0.032792373973681066,0.038760009026319153,0,0.82953276920899999,0.024368231185999956,0.031325832075999926,0
2MASXJ05580206-3820043,10.655688036000001,,,-1,,,,-1,10.5792041812,,,1,1.0,,,1
2MASXJ06411806+3249313,10.470181283500001,,,-1,,,,-1,10.362106623300001,,,1,0.96604058591700004,,,1
2MASXJ06561197-4919499,10.7450084254,0.022639161100000749,0.022421871500000634,0,9.5950972491026008,0.0814714671373995,0.086323212902600588,0,10.71311339240791,0.026866892492089178,0.02651526970791096,0,0.92919094088099996,0.013285665377000044,0.016143649018000028,0
2MASXJ07262635-3554214,11.001919884699999,,,-1,10.4292438579,,,-1,10.751671479400001,,,1,0.684702536842,,,1
2MASXJ07595347+2323241,10.9392825703,0.11979448880000199,0.011921466499998701,0,10.86216928587899,0.18349307072101162,0.010014111878987819,0,10.150641177489975,0.058615316310024923,0.3673702346299752,0,0.162689156399,0.019712858060999983,0.112834586103,0
2MASXJ08032736+0841523,10.029678409000001,,,-1,,,,-1,9.7355106826500002,,,1,0.61462704006000002,,,1
2MASXJ09023729-4813339,10.240388866,,,-1,9.7302566441199989,,,-1,9.9907236631300016,,,1,0.65651696551700001,,,1
2MASXJ09043699+5536025,10.1534709381,0.020198983700000284,0.026110520199999598,0,10.037409424728217,0.020977862371783118,0.11088537147821675,0,9.5236356832991422,0.22235433918085867,0.089808112809143026,0,0.23451182433899997,0.16027435604400003,0.04002831478799998,0
