Name,mdust,mdust_err_high,mdust_err_low,mdust_flag,tdust,tdust_err_high,tdust_err_low,tdust_flag,beta,beta_err_high,beta_err_low,beta_flag,alpha,alpha_err_high,alpha_err_low,alpha_flag,wturn,wturn_err_high,wturn_err_low,wturn_flag,lir_total,lir_total_err_high,lir_total_err_low,lir_total_flag,lir_sf,lir_sf_err_high,lir_sf_err_low,lir_sf_flag,lir_agn,lir_agn_err_high,lir_agn_err_low,lir_agn_flag,agn_frac,agn_frac_err_high,agn_frac_err_low,agn_frac_flag
NGC3393,7.8601014340199997,0.2725617298699996,0.23042780791999995,0,18.5688068505,4.6002547952999997,3.8494787306999996,0,2.0827096868400004,0.8252383531099996,0.58818200132000009,0,2.18535485555,0.38321888300000007,0.36804469300999987,0,48.050319815900004,10.147632887499995,7.2294963872000082,0,10.3533572688,0.028645559999999293,0.031949615400000297,0,10.026873206699999,0.088000889599999965,0.0732843395499998,0,10.0837891818,0.070302370100000289,0.14317369366000143,0,0.53111784778399995,0.080585335310000006,0.13233003749699995,0
NGC3431,7.58445963498,0.11816753845000072,0.073385694199998852,0,24.789319163400002,2.165679159099998,2.8818990003000025,0,1.2025857580500001,0.29658009696999987,0.23671688287600012,0,1.4962718955399998,0.37946647580000015,0.41654576626999984,0,52.811902913199994,16.363681739800008,15.675662964199994,0,10.161991947400001,0.022084159800000336,0.022235239600000511,0,10.083878646000001,0.035668030900000147,0.059692196100000317,0,9.3834501259199996,0.24660667993000018,0.34828192533000113,0,0.16342198066400002,0.12138070407099996,0.09401946563080002,0
NGC3718,6.9345737897300008,0.05317494835999792,0.052808170580001423,0,24.584401144200001,1.3744046211000018,1.480181433000002,0,0.35550364716300004,0.24257665072899998,0.20377748120200004,0,-0.0040298713520000003,0.522816334429,0.426483368019,0,48.223606156400002,20.075007035899993,18.162481428100005,0,9.0705070759300011,0.017273438859998436,0.019317205900000189,0,9.0856757501600001,0.019572810559999709,0.018540403249998505,0,8.0705070759300011,,,-1,0.1,,,-1
NGC3783,7.4618770175,0.21874426776999911,0.19869029522999959,0,20.365206560499999,4.5234801106000013,3.4963107204999986,0,2.05044038627,0.53444607450000037,0.45753561712000002,0,1.6891752213100002,0.45425135165999997,0.37979884390000018,0,47.5494096957,10.856568658,9.0033540773999974,0,10.4111123541,0.033387899100000951,0.033260134399998975,0,9.8604461555100009,0.10862732560999966,0.086531224670000739,0,10.267924048400001,0.05268217959999788,0.071505376700001122,0,0.72327036973100012,0.050951826354999952,0.089794873795000174,0
NGC4051,7.5988077208,0.060470293999999924,0.046129535250000409,0,21.895474728899998,1.0905474441000038,1.2449526529999986,0,1.9163000503900001,0.19818467205999979,0.17764345289999994,0,1.29277847752,0.54463680560999994,0.41741938419299995,0,49.058398282399999,17.72653732940001,17.960421725699998,0,10.151389183899999,0.017671765800001182,0.018910960299999502,0,10.126255653699999,0.019007037499999768,0.028986579499999721,0,9.5038312334900006,,,-1,0.20404439370900002,,,-1
NGC4102,7.3314060643300012,0.14718746901999946,0.067393594300001247,0,26.606887368899997,2.0505988212000048,3.8398512714999988,0,2.1248819015500002,0.26482672011999986,0.17818776007000015,0,2.5997852896500002,0.48530353320999975,0.37152071970000033,0,45.286174508800002,21.454086560999997,14.630468564000001,0,10.538478210099999,0.024925869800000555,0.026574490399998041,0,10.4764323962,0.045647392699999401,0.14740023539999925,0,9.7857780495200011,0.42330759037999854,0.59114222236000025,0,0.13793686135,0.26787007452700001,0.13260183640033998,0
NGC4138,6.5660291937500004,0.047805143219999735,0.048928118180000979,0,23.522613962600001,1.3286503345999954,1.1802739483000018,0,1.6131677439800001,0.20320395327999985,0.20771790920000011,0,0.30650411012899997,0.42992596695800006,0.40150333249919995,0,47.797940330500005,19.02459705319999,16.000864902500002,0,9.125699899939999,0.018233678350000559,0.019551506689998277,0,9.1348746706399986,0.018744648920002049,0.020476442469998801,0,8.125699899939999,,,-1,0.1,,,-1
NGC4151,6.3642236210199998,0.17104535418000033,0.099467940690000312,0,25.100711946799997,3.5231337073000013,4.0553536205999983,0,1.8924950362999999,0.40910855705999993,0.33340156058000003,0,1.8757831790000001,0.58740491473999978,0.48697770286000019,0,38.484379961000002,9.7183472900999917,10.115897958600005,0,9.6641541432700002,0.041650843549998484,0.042865374170000692,0,9.2271586781399986,0.066757478590000474,0.097109591179997068,0,9.4729667284399994,0.08524198361000046,0.1049934491099993,0,0.63786904430299995,0.087806482479000136,0.095058175623999985,0
NGC4180,7.2203097503999993,0.036814882960001682,0.034707449239999022,0,25.145581392699999,1.0336437328000017,1.0106537791999983,0,1.9637991746400001,0.14736528597999987,0.14559828068000003,0,0.93282769904499996,0.538662746375,0.43006674089099994,0,45.493317374899995,19.875348560900001,16.186780361299995,0,10.0839809831,0.015436686799999322,0.014963771999999764,0,10.128142387999999,0.015731441000001567,0.015847144699998594,0,9.0839809831,,,-1,0.1,,,-1
NGC4235,6.5854790376400008,0.1025911416900005,0.079573374080001535,0,22.9954565675,2.1249793023000016,2.3567915811999995,0,1.5656617528000001,0.40486901062999991,0.32537115957999996,0,0.85034696748899996,0.47427822018100019,0.42641757624900001,0,50.607230916700004,18.739791063099986,16.017750381900001,0,9.2061799205299994,0.025602813289999915,0.026496645629999094,0,9.0755926566300005,0.029982027820000923,0.049811923440001848,0,8.6123022651100012,0.14430849819999914,0.1272259800300013,0,0.25442830702699998,0.091008050075000013,0.055340977217999965,0
NGC424,7.1511523590000001,0.23375692339999965,0.24814316668999936,0,23.735294422199999,7.8679665235999998,4.9025900807999996,0,1.5291264558700002,0.56444378743999968,0.49726897905,0,1.2008142632400001,0.38530429350999995,0.31764409580500008,0,51.373259087299992,9.5072245346000059,9.382402804999991,0,10.4987711318,0.035523001500001428,0.039256257699999964,0,9.7024517981300011,0.16737987866999759,0.1156018680700015,0,10.4186669666,0.053173167699998913,0.072522965899999292,0,0.83927706057099993,0.041797442396000029,0.079597662043999984,0
